tile_id,easting_m,northing_m,height_m
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387287.5,3899132.5,58.71
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387295.5,3899132.5,59.1
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387338.5,3899132.5,58.28
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387660.5,3899132.5,58.34
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387690.5,3899132.5,56.61
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387709.5,3899132.5,55.37
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387738.5,3899132.5,55.91
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387751.5,3899132.5,57.41
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387870.5,3899132.5,57.87
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387877.5,3899132.5,58.58
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387107.5,3899131.5,55.62
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387223.5,3899131.5,55.95
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387265.5,3899131.5,56.68
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387367.5,3899131.5,59.42
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387731.5,3899131.5,54.32
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387082.5,3899130.5,60.0
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387098.5,3899130.5,56.65
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387349.5,3899130.5,57.94
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387667.5,3899130.5,55.83
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387114.5,3899129.5,55.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387156.5,3899129.5,57.84
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387684.5,3899129.5,56.42
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387883.5,3899129.5,59.47
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387139.5,3899128.5,55.86
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387163.5,3899128.5,56.09
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387246.5,3899128.5,55.87
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387332.5,3899128.5,55.76
